,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
7737,Feature,If it can be possible to just play the Ayat that we are reading,Quran Reading Features,Quran Reading Features - Audio Playback for Ayat,Low,Neutral
7738,Feature,If Roman english is also available it will be good,General Feature,General Feature - Roman English Availability Request,Low,Neutral
7739,UI,If surah has more than 200 ayat it becomes difficult to scroll down and search that ayat for tarjuma tafseer,Navigation Difficulty,Navigation Difficulty - Quran Ayat Scrolling Issues,Medium,Negative
7740,Feature,"If tapping/touching a word can highlight , become more prominent, showing it's meaning simultaneously and reciting",Quran Reading Features,Quran Reading Features - Word Highlighting and Meaning Display,Low,Neutral
7741,Feature,"If the page wise distribution is provided then will be more handy to use also there should be facility to put more the one book mark 
Jazakallah khairan 
This is such an amazing app may Allah reward the whole team abundantly 
Aameen",Quran Reading Features,Quran Reading Features - Bookmark and Page Distribution Request,Low,Positive
7742,Bug,"If we are stopping in the middle , when coming back to read it's showing from start,so that should not happen..",General Bug,General Bug - Reading Progress Issue,Medium,Negative
7743,Bug,If we go last of a parah and by mistakely refresh is done by sliding up then I go somewhere else than where I was reading. Please fix it,General Bug,General Bug - Refresh Navigation Issue,Medium,Negative
7744,Feature,"If we search any ayaat , than it demands surah and parah number that we don't know, so i should be search in whole quran by default",Search Functionality,Search Functionality - Quran Search Default Settings,Medium,Neutral
7745,Feature,"If we wanna read translation by our own choice of any Maulana so there should b an option
Abhi just hm hr ayat k liye option Mai jaty hn or prh skty hn lekin Jo b surat ya Quran Pak hm prh rahy hn wahan selection option nahi h k wo surat unhi maulana jink",Translations & Tafseer,Translations & Tafseer - Custom Maulana Translation Option,Low,Neutral
7746,Feature,"If you add in this books "" Sunnat Rasool SAW: because I need to read the book",General Feature,General Feature - Book Addition Request,Low,Neutral
7747,UI,If you could make the 15 line Qur'an font bigger.,Visual Design,Visual Design - Quran Font Size Adjustment,Low,Neutral
7748,Feature,"If you g8ve surah name and no. Where we are reading will be great , also if we can use bookma4k 8n different places 8n Quran.",Quran Reading Features,Quran Reading Features - Bookmark and Surah Navigation,Low,Neutral
7749,Other,If you have this app wallahi you don't require anyone to teach you Islam in this easy way,General Other,General Other - Positive Feedback on Learning,Low,Positive
7750,Feature,If you mixed English and Urdu but with the same sound as Urdu,Translations & Tafseer,Translations & Tafseer - Mixed Language Translation Request,Low,Neutral
7751,Feature,"If you were to add a part or feature where you can access important verses from quran like last 2 ayahs of sure baqarah, ayatul kursi etc And a roller like drag it and you will scroll fast. 
everything is good very well made Jazakallah khair",Quran Reading Features,Quran Reading Features - Quick Access to Important Verses,Low,Positive
7752,Bug,Iif we write any line for searching of Hadith ۔ the Hadith about this content never open۔,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
7753,Feature,Imam Ahmed raza ki tafseer daliye or translate hindi plz,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Low,Neutral
7754,Feature,Immersive reading features required like the best reading devices. Should continue from where you were reading no matter how when and where you open. Accidental touch prevention also required,Quran Reading Features,Quran Reading Features - Immersive Reading Experience Request,Medium,Neutral
7755,Feature,"Improve Adhan! Have simple full Adhan (4) times and fajar. No short cuts, 1/8, 1/4, 1/2 Adhan fit for a Muslim country. We in the West can't have like you do. I hope you understand Hussain Mir. Canada.",Prayer Times & Azan,Prayer Times & Azan - Full Adhan Feature Request,Medium,Negative
7756,Bug,"Improve audio quality,someplace voice is very low",Audio Playback Issues,Audio Playback Issues - Low Audio Quality,Medium,Negative
7757,Feature,"Improve book mark folder with more options.
As I want to save same ayat in one folder, and other in different folders.
In short supply more folders option",Quran Reading Features,Quran Reading Features - Bookmark Folder Options,Low,Neutral
7758,Feature,"Improve by adding more recitation audio .
And more explanation about the tafseer.
Please Please add Abdul Rehman Voice for recitation of quran verses.",Translations & Tafseer,Translations & Tafseer - Tafseer Explanation and Audio Requests,Low,Neutral
7759,Accuracy,Improve in translation it is good but some words  are different in meaning,General Accuracy,Translations & Tafseer - Translation Accuracy Issues,Medium,Negative
7760,Bug,Improve mic system I pronounce a surah and they start another surah,Audio Playback Issues,Audio Playback Issues - Surah Transition Problem,Medium,Negative
7761,Feature,"improve speaker service,here sound is not like original and add more qari",Quran Reading Features,Quran Reading Features - Audio Quality Improvement,Medium,Neutral
7762,UI,Improve theme and Colour to Qur'an background,Visual Design,Visual Design - Quran Background Theme Improvement,Low,Neutral
7763,Feature,Improve translation also add word to word meanings,Translations & Tafseer,Translations & Tafseer - Translation Improvement Request,Low,Neutral
7764,UI,"Improve typography mistakes in tadaburul quran tafseer, & in word explanation of urdu translation. Otherwise the explanation of urdu words is marvelous.",Text/Font Errors,Text/Font Errors - Urdu Translation Typography Issues,Medium,Positive
7765,Feature,Improvement should be taken for recitation of best kirat,Quran Reading Features,Quran Reading Features - Recitation Improvement Request,Low,Neutral
7766,Feature,Improvement to search with word. I want to search about Rafaha Yadain but it was fail to give response. Otherwise it is very fantastic app and serving for muslims and islam.,Search Functionality,Search Functionality - Specific Term Search Issues,Medium,Positive
7767,Bug,In 15 line quran auto scrolling while playing recitation does not work line by line and needs some important.,Audio Playback Issues,Audio Playback Issues - Quran Auto Scrolling Malfunction,Medium,Negative
7768,Bug,In 15 n 16 line Quran the page no. indication slides along the page in option where page scroll down itself n in that 'the page number' tag hides first harf of Quran which don't allow to recite smoothly.,Text/Font Errors,Text/Font Errors - Page Number Display Issue,Medium,Negative
7769,Feature,"In any Sura, to search a particular ayah, one has to scroll all over the Sura. It would be a great addition if ayah search can also be included. JazakAllah",Search Functionality,Search Functionality - Ayah Search Feature Request,Low,Positive
7770,Feature,"In audio, only tirmizi sharif has isnad sahih and weak, if other sunan also will have this, it will be great .",General Feature,General Feature - Hadees Isnad Information Request,Low,Neutral
7771,Feature,In continue reading (bookmark) please keep screen similar to the 15 or line Physical Quran pages.,Quran Reading Features,Quran Reading Features - Bookmark UI Consistency,Low,Neutral
7772,Bug,In many cases the Arabic voice is for the next Hadis while the Urdu translation voice is for the displayed Hadis. In some cases the Arabic voice is missing while in others the Urdu translation voice is missing.,Audio Playback Issues,Audio Playback Issues - Hadees Audio Mismatch,Medium,Negative
7773,Feature,"In my opinion most of the users are from indo pak and they have memorize quran from 16 line quran , if you upload 16 line with pop-up word meaning it will save the time of reciter, now if I don't know the meaning of the word I have to leave the page if th",Quran Reading Features,Quran Reading Features - 16 Line Quran with Word Meaning,Low,Neutral
7774,Accuracy,"In noman Ali khan's tafseer of surah bani Israel, surah nahl tafseer is attached.",General Accuracy,General Accuracy - Tafseer Content Misalignment,Medium,Neutral
7775,Bug,In notification bar it showed you have read 3812 ayahs today actually we read 83 but it showed 3812,General Bug,General Bug - Incorrect Ayah Count Display,Medium,Negative
7776,Feature,"In read Quran, they should be a feature of goto ayah# , surah # 
You have to scroll to read a particular ayah e.g. aya 285 of surah 2",Quran Reading Features,Quran Reading Features - Go to Ayah Navigation Request,Low,Neutral
7777,Accuracy,In some of the verses the translation is jumped and some time the translation is not completely read as well the translation words some differ from the written tarjuma against the aayat,General Accuracy,General Accuracy - Translation Inconsistencies,High,Negative
7778,UI,In the android app there is a floating language on the front page in Urdu. You guys need to change it to simple font to read is easily.,Visual Design,Visual Design - Font Readability Issues,Low,Neutral
7779,Bug,In the latest upgrade during tilawat going to the next parah is not available as was in the previous version.,General Bug,General Bug - Quran Parah Navigation Issue,Medium,Negative
7780,Bug,In the word to word translation of quran there is key for last seen. You press it but it doesn't save it as last seen. I hope you can fix that,General Bug,General Bug - Last Seen Feature Not Working,Medium,Negative
7781,Feature,In this app we cant resume tilawat on same ayat or ruku please l add this feature if i done yesterday tilawat let suppose page 23 ayat 26 next day i start page continue on this,Quran Reading Features,Quran Reading Features - Resume Ayat/Ruku Functionality,Low,Neutral
7782,UI,"In this new version, the way to go to next para is very confusing. If you are reading at the end of para, slighty swiping up will go to next para and swiping down will go the starting of previous para۔ Please set its control as previous version. Moreover",Navigation Difficulty,Navigation Difficulty - UI Control Confusion,Medium,Negative
7783,Other,"In today’s world where carrying Qur’an and Hadith is not easy task for everyone. In the era of technology, making available Qur’an online is blessing to us.",General Other,General Other - Online Quran Accessibility,Low,Positive
7784,Accuracy,In translation its skipping two to 3 words why ?,General Accuracy,General Accuracy - Translation Word Skipping Issues,Medium,Negative
7785,Bug,"In word to word translation, in arabic text, punctuation marks are missing like ،وقف لازم، وقف جاںٔز ، وقف مطلق etc",Text/Font Errors,Text/Font Errors - Missing Punctuation in Arabic Translation,Medium,Negative
7786,Feature,"Include Dictionary From Arabic to English, currently you Arabic to Urdu only",Translations & Tafseer,Translations & Tafseer - Arabic to English Dictionary Request,Low,Neutral
7787,Feature,Include jumping straight to an ayah number instead of sliding down and down,Quran Reading Features,Quran Reading Features - Direct Ayah Navigation Request,Low,Neutral
7788,Feature,Include search option by entering hadees no.,Search Functionality,Search Functionality - Hadees Search Feature Request,Low,Neutral
7789,Feature,Including all fiqa books and more ahdess book in this app/application Islamic 360,General Feature,General Feature - Inclusion of Fiqh and Hadees Books,Low,Neutral
7790,Feature,incorporate AI so that roman English can be used to search Hadith,General Feature,General Feature - Roman English Hadees Search Integration,Low,Neutral
7791,Feature,Is any option in this application to find the specific Ayat/verse in a surat/Chapter without scrolling? If so kindly referred me.,Quran Reading Features,Quran Reading Features - Quran Verse Search Request,Low,Neutral
7792,Bug,Is app ky features bht hi achy hain magar kabhi kabhar ye hang ho jati hai or bookmark ky option me bhi behtri ki zrorat hai taky ek book mark lagayen to dosra khtm ho jay or akri bar hamne jo book mark lagaya ho surat kholny par wahi samny ay mazeed ye k,App Crash/Freeze,App Crash/Freeze - Bookmark Feature Improvement,Medium,Negative
7793,Accuracy,Is ki translation ka Kuch word lagta ha kisi ko likhna ma koi galti hoi ha ya Kisi ko likhna nai ata Kam az Kam is ka words ko to thk likho ta ka para ja Saka,General Accuracy,General Accuracy - Translation Errors,Medium,Negative
7794,Feature,Is mei aik feature add krdein jesy k jisny jo Sipara parh liya hy ya koi surah parhli hy to usy Done krdey ya phir koi aesi jagah sy chorta hy or wo shakhs soochta hy k wo baad mei yahan sy parh lega but agr wo bhool jaye to isliye aesa koi feature daal d,Quran Reading Features,Quran Reading Features - Bookmarking Read Progress,Low,Neutral
7795,Feature,Is mn jab hum Quran parhte hen tu nishani rkhnw ka option b ho k jab hum dobara open kren tu pata chale k Kal hum Khan parh rhe the.shukria,Quran Reading Features,Quran Reading Features - Bookmarking Option Request,Low,Positive
7796,Other,Islam 360 application bahut hi behtarin hai main sab bhaiyon ko kahta hun aap iska istemal Karen ek too  ismein bahut Si chijon Ka fayda hota Hai aur dusra yah tasdeq shhoda hai,General Other,General Other - Positive Feedback on App,Low,Positive
7797,Other,"Islam 360 is vey useful, I am benefiting from it. Allah bless the whole Islam 360 team. Ameen suma Ameen ya Rabulalameen",General Other,General Other - Positive Feedback,Low,Positive
7798,Other,Islam 360 se buht fyda hasil ho rha hai i think kisi b cheez ki kmi ni jzak Allah khyr Allah app ko is ka ajjar de 🤲Ameen,General Other,General Other - Positive Feedback,Low,Positive
7799,Other,Islam360 app customer service team is not pro-active and their decision making strategies are not good.,General Other,General Other - Customer Service Issues,Medium,Negative
7800,Feature,"Issue in playing the audio offline.
Please update the feature so we can listen quran verses its translation and tafseer in playback mode also.",Translations & Tafseer,Translations & Tafseer - Offline Audio Playback Issues,Medium,Neutral
7801,Feature,It can improve options like ... When we tap to play the audio.. it's skips the Bismillah part.. and also the introduction of tafseer with it.,Audio Playback Issues,Audio Playback Issues - Skipping Audio Segments,Medium,Neutral
7802,Feature,It is difficult to go to specific Aya. Have to scroll to much. There should be way to enter  Aya number to directly scroll to that,Quran Reading Features,Quran Reading Features - Direct Aya Navigation Request,Low,Neutral
7803,Feature,"It is hard to find specific hadith most often. Like i was searching the hadith where Prophet peace be upon him mentioned the importance of istaghfar, where he said 'mere qalb per bhi kbhi hijab aa jata hai' so he used to do astaghfar 70 upto 100 times .",Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
7804,Feature,"It is requested to remove the upgrade in surah terminating point
At the end of surah upon scrolling up, it should not move to next surah. As normally we dont know that surah has ended and last few ayaahs are left.... scrolling up moves to next surah. Seco",Quran Reading Features,Quran Reading Features - Surah Navigation Issue,Medium,Neutral
7805,Feature,"It is unbelievablely awesome. Jazakum Allah Khairan.
Yet it would be even more great to make sections for ahadith belonging to a single topic.
Jazakum Allah Khairan.",General Feature,General Feature - Hadees Topic Organization Request,Low,Positive
7806,Feature,"It is very useful application Ma sha Allah! It helps me alot. 
My suggestion is that; there must be a Smart reading mode for Quran in only Arabic also so that if someone want to take screenshot of a small surah or some ayats from any specific surah that m",Quran Reading Features,Quran Reading Features - Smart Reading Mode Request,Low,Positive
7807,Feature,"It needs translations and tafaseer proof reading.  
If editing option be given to a few trusted members , they will correct the writing there at the spot. 
One person may review and finalise the correction.",Translations & Tafseer,Translations & Tafseer - Proofreading and Editing Requests,Medium,Neutral
7808,Feature,"It should be like in volume design, because many references are we get in volume way not direct cuz in some books Hadith no isn't same",General Feature,General Feature - Hadees Volume Design Request,Low,Neutral
7809,Feature,"It shows verses infividually however i prefer them as to read as a whole page 
So kindly make an option of reading a page or verses one by one",Quran Reading Features,Quran Reading Features - Page Reading Option Request,Low,Neutral
7810,Bug,It stuck some time while reading hadith and then stop automatically,App Crash/Freeze,App Crash/Freeze - Hadees Reading Freeze Issues,Medium,Negative
7811,Slow,"It takes long to scroll down, say to 50th verse. And we cant change the translation like if i would like to set Moududi r.a 's translation as default.",General Slow,General Slow - Quran Scrolling Performance,Medium,Negative
7812,Feature,"It us awesome. MashaAllah.
I used it oftenly.... There should be qirat on 15 lines Quran majeed as well...",Quran Reading Features,Quran Reading Features - Quran Qirat Request,Low,Positive
7813,Feature,"It would be better if i could just type the ayat number and get to it in a surah, because swiping down takes a lot of time in lengthy surahs",Quran Reading Features,Quran Reading Features - Ayat Number Navigation Request,Low,Neutral
7814,Feature,It would be better if you added tafseer and also had colour coded tajweed,Translations & Tafseer,Translations & Tafseer - Tafseer and Tajweed Features Request,Low,Neutral
7815,Feature,"It's request pllzz ... Add feature "" hadith number """"  when we read chapter  of any hadith book   is trah Jo  book read Kar rehy  nechy. Karna parta kafi , direct usi no pa phonchy
&
Phely main search karti thi top 5 different names e g. . Asman , Zameen,",General Feature,General Feature - Hadees Number Display Request,Low,Neutral
7816,Feature,"It's the reason  I use the app but it needs to revamped, the bookmark feature is not convenient, the search feature could use a lots of dev love and have more filters etc ... I think this can be very very big sell for the app , especially because multiple",Quran Reading Features,Quran Reading Features - Bookmark and Search Improvements,Medium,Neutral
7817,Feature,"It's too much convenient to read out and comparison the translation of different writers at the same time, Moreover everything thing is managing beautifully.
Now, it's my suggestion that please improve the features of Ahadees as Quran and you may highligh",Ahadees Improvement,Ahadees Improvement - Hadees Feature Enhancement Request,Low,Positive
7818,Feature,"It's very helpful and I'm very happy with it.
It would be gr8 if u could  also narrate the incidents that had taken place with particular ayats .",General Feature,General Feature - Ayat Narration Request,Low,Positive
7819,Feature,"It's very nice that I can search any surah, BUT when I select a surah there's no way to search ayah, I have to scroll until I find it, let's suppose I have to read Surah Baqrah Ayat 255, I have to scroll for 1min or two

There should be feature to search",Search Functionality,Search Functionality - Ayah Search Feature Request,Medium,Negative
7820,Bug,It's was somehow good but sometimes it's difficult to download a parah or a surah properly also I faced difficulties while listening to a surah offline and I'd to play it again and again after each ayat.,Download/Offline Issues,Download/Offline Issues - Quran Download and Playback Problems,Medium,Negative
7821,Feature,"Its amazing. If only it had continuous play. Like if one chapter ends it automatically starts the next one.
Thanks for the amazing work",Quran Reading Features,Quran Reading Features - Continuous Play Request,Low,Positive
7822,UI,Jab bhi hum koi sureh ya para scroll down kar rahai hote hain last ki aayaat daikhne k lia to last main jab sureh ya para khatam hota hai to next sureh ya para start ho jata hai..aisa nhi hona chaiye...para ya sureh khatam hone par wahin ruk Jana chaiye,Navigation Difficulty,Navigation Difficulty - Quran Scrolling Issue,Medium,Negative
7823,Feature,Jaise Apple ke andar Hota Hai Naam bolate Hain call lag jata hai Usi Tarah Ek topic bolane per usse related sari hadise mil jaaye to behtar hai,General Feature,General Feature - Hadees Voice Search Request,Low,Neutral
7824,Bug,Jis hadees ki talashte hoti hai wo milti hi nhi hai,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
7825,Other,jitni bhi app Maine Dekhi Hai unmen se yah best app hai aur isiliye understanding hoti hai Main To isko Kai Salon se istemal kar raha hun Sharda for men Tarjuma Khatam kar chuka hun aur Alhamdulillah teen Dava khatm kiye Allah Tala Chhipa Sahab ko jaza Kh,General Other,General Other - Positive Feedback on App Usage,Low,Positive
7826,Feature,Jo hadees ma koi ayat waqara likhi hoti hai wo nhi likhi hai bas us ka tarjama likha hai plz jo hadess ma koi ayat waqara likhi hoti hui hai wo b add kara,Translations & Tafseer,Translations & Tafseer - Missing Ayat in Hadees,Low,Neutral
7827,Feature,Jo pdf quran hai unhein bhi ekdm same format me banayein jaise normal quran hai bina kisi border decoration me,General Feature,General Feature - Quran PDF Format Request,Low,Neutral
7828,Ads,"Jub hum share karty hain koi Ayat to background mai islam360 ke awaz bar bar ati he, jub k ayat k end par b ap ko apni application ke mashoti karty hain. Kindly ayat k darmian mai background mai na rakhy islam360 ko. Shukeya. Baki ye feature bohat acha he",Ads During Religious Content,Ads During Religious Content - Background Audio Disruption,Medium,Negative
7829,Feature,Just AI feature need more improvement that it can search Surah and ayat at the same time with precision,Search Functionality,Search Functionality - Quran and Ayat Search Precision,Medium,Neutral
7830,Feature,"Just improve the Search System. 
Cause whenever I try to search something Simple the search system make it so complicated and difficult. 
So please just work on the search System. 
Otherwise the App is great in itself.",Search Functionality,Search Functionality - Search System Complexity,Medium,Neutral
7831,Feature,"Just like you have quraan digital file as well as the pdf, in the same way (searchable) please also put ahadith books' pdf too.",General Feature,General Feature - Hadees PDF Availability Request,Low,Neutral
7832,Feature,"Keep some drop down / pop up menu or list of Surah available also when a particular Surah is opened for ease of selection / referral 
Instead existing scheme that requires closing of the Surah to go back to some other surah",Quran Reading Features,Quran Reading Features - Surah Selection Improvement,Low,Neutral
7833,Feature,Keep the last opened page on main screen so we can keep in mind where we left,General Feature,General Feature - Last Opened Page Reminder,Low,Neutral
7834,Feature,"Kindly  add  ayat search  and  camera scan  to  find ayat bcz we  confirm  from  islam 360 as  today  we can not  trust  social media sharing 
Jazak ALLAH",Quran Reading Features,Quran Reading Features - Ayat Search and Camera Scan Request,Low,Positive
7835,Feature,Kindly create a method to share and save Tafseer audios. Moreover simplify method of subscription,Translations & Tafseer,Translations & Tafseer - Tafseer Audio Sharing and Subscription,Low,Neutral
7836,Feature,Kindly Kuch ASA kryn jaha per parah prhna chor k app bnd kryn to jub open kryn to wahi sy parah open ho. It's means k nishani Reh jaye,Quran Reading Features,Quran Reading Features - Resume Reading Position,Medium,Neutral
7837,Feature,"Kindly set resume option in this application
We are reciting the Qur'an with translation one , the next day we have to start it from the beginning so kindly set resume option
May Allah reward you Jannah",Quran Reading Features,Quran Reading Features - Resume Option Request,Low,Positive
7838,Feature,"kindly spread the awareness of common issues according to ayaat ul Quran and in the light if Ahadith.like haqookul ul ibaad,lain dain,mehman nawazi,insano ku takreem etc.",General Feature,General Feature - Awareness of Quranic Teachings,Low,Neutral
7839,Feature,"Kindly Upload Complete Musnad Ahmed + Sunan Nisai Al-Kubra with Grading.
Do confirm Grading of Muwatta Imam Malik & Al-Mustadrak Lil Hakim.
جزاكم الله خير و أحسن الجزاء
بارك الله فيكم
يحفظكم ربى من كل شر",General Feature,General Feature - Hadees Upload Request,Low,Positive
7840,Accuracy,"Koch jagah tafseer/ tarjama men symbol (, . ;) nahen dey gay hen, jis wajah Sy maybe Matlab Galat ho Sakta hy,
Or maybe samjh ny men mistake ho Sakta hy.
Sorry you are doing well and more better than us,
But agr ham NY Koy mistake dekha Hy to wo Batana fa",General Accuracy,General Accuracy - Tafseer Translation Accuracy Issues,Medium,Negative
7841,Bug,"Koi chapter search nhi krta
Mene Islam me film ki fazilat 10times search liya but 0 result",Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
7842,Feature,"Kuch aisa karein ke last wali Ayaat bhi set kar sakein e.g Maine ""Surah Al Kahaf"" ki first 10 aur last 10 parhni hoti hain to last ke ke liye scroll karna padta haii.",Quran Reading Features,Quran Reading Features - Last Ayat Selection Request,Low,Neutral
7843,Feature,Landscaping option is not available in Quran option should be available.,Quran Reading Features,Quran Reading Features - Missing Landscaping Option,Low,Neutral
7844,Bug,Lots of issues to select translation of authors and again and again refresh please resolved this issue please,General Bug,General Bug - Translation Selection Issues,Medium,Negative
7845,Feature,Make a category of topic of day feautured on homepage. This can be from Quran. And then also add smart revision system.,General Feature,General Feature - Daily Topic and Revision System Request,Low,Neutral
7846,Feature,Make a search that covers all the sihah sitta at once. Incorporate different translations so that searching is easier,Translations & Tafseer,Translations & Tafseer - Hadees Search with Multiple Translations,Low,Neutral
7847,Feature,Make it a little easy for user to intract with your app and also make a strong and authentic AI just for Islamic conversations,General Feature,General Feature - User Interaction Improvement,Low,Neutral
7848,Feature,Make it easy to reach the last verse of surah. If i have to read last 2 verses of surah baqra i have to scroll alot just to reach there . Please work on that otherwise its very helpful app jazakallah.,Quran Reading Features,Quran Reading Features - Last Verse Navigation Improvement,Low,Positive
7849,Feature,"Make keyword search more user friendly, because your major users are new comers....... 
Aalim and Ulema uses the scan pages",General Feature,General Feature - User Friendly Search Improvement,Low,Neutral
7850,Feature,Make sure we can use old the version of our choice of Islam360....thanx,General Feature,General Feature - Old Version Access Request,Low,Neutral
7851,Ads,"Make this App Advertize free Stop asking for donations or share the progress that helps poor or needy people 
I have seen and heard those who collect money on Quran suffer miserable in Duniya and akhrat",General Ads,General Ads - App Advertisement Concerns,Medium,Negative
7852,UI,"Many features are good but  the moving icon yellow colors is not suitable, secondly there must be a feature of moving from one para  to another in para portion as before and another problem is that if we move to  any page or verse by the widgets given abo",Visual Design,Visual Design - UI Color and Navigation Issues,Medium,Negative
7853,Bug,"Many mistake this islami 360 app
No response any query 
About mistake",General Bug,General Bug - App Query Response Issues,Medium,Negative
7854,Accuracy,Many of recitations have bad background statics and tafseer from mufti saeed is missing after surat نمل . Very helpful and amazing tafseer so complete it and some verses of tafseer are missing from mufti saeed for e.g verse of isra tafseer and tafseee,General Accuracy,General Accuracy - Missing Tafseer Content,Medium,Negative
7855,Accuracy,Many times when I give words I am unable to find that hadees. Sometimes that hadees is with some other word. This a lot to be improved.,General Accuracy,General Accuracy - Hadees Search Issues,Medium,Negative
7856,Feature,"Mistakes in translation..
Please add some more scholars for tafseer of Quran
Please add sharah for hadees .. 
This will g8ve true understanding of hadees",Translations & Tafseer,Translations & Tafseer - Tafseer and Hadees Sharah Request,Medium,Neutral
7857,Feature,"More topics for daily routine issues should be added. Like namaz, namaz e janazah, halal haram earning etc",General Feature,General Feature - Daily Routine Topics Request,Low,Neutral
7858,Bug,"Most of the tafseer of nouman Ali khan ain't well organised, one will try to find the tafseer of ayat 15 it will show you of 16, and this issue is on many chapters",Search Functionality,Search Functionality - Tafseer Search Issues,Medium,Negative
7859,Accuracy,"Most of the time if I search in Arabic language ,the search results are not there or wrong. Kindly make search in Arabic words better",General Accuracy,General Accuracy - Arabic Search Results Issues,Medium,Negative
7860,UI,"Much more improvement, just one thing to say that the screen background color changes itself, from black to white",Visual Design,Visual Design - Background Color Change Issue,Low,Neutral
7861,Bug,Mufti Tariq Masood quran tafseer is not working,General Bug,General Bug - Tafseer Not Working,Medium,Negative
7862,Bug,Mujy search karny par surh ya ayat nai milti Jo chez bi search karni ho nai milti isy improve karain,Search Functionality,Search Functionality - Quran Search Issues,Medium,Negative
7863,Bug,"Mustadrak Hakim And Musnad Ahmad Freezing While Scrolling And Opening
In my android 13 and android 8",App Crash/Freeze,App Crash/Freeze - Hadees Freezing Issues,Medium,Negative
7864,Feature,My Umrah points are still zero even if I read Quran ...I find difficulty in dealing with and searching for ahadeeth...there should be a search engine for ahadeeth reference searching also,Search Functionality,Search Functionality - Hadees Search Feature Request,Medium,Negative
7865,Feature,"Navigate to page directly. 
Able to read the entire tasir of asura. 
Ability to increase the font size.",Quran Reading Features,Quran Reading Features - Navigation and Font Size Options,Low,Neutral
7866,Subscription,Need app for cheaper than 300 per month. It should be more like 50 rs per month.,Plan Pricing,Plan Pricing - Subscription Cost Request,Medium,Negative
7867,Bug,Need correction in Quran tafseers many audio not playing.,Audio Playback Issues,Audio Playback Issues - Quran Tafseer Audio Not Playing,Medium,Negative
7868,Accuracy,Need Correction in spellings of urdu translation,General Accuracy,General Accuracy - Urdu Translation Spelling Correction,Medium,Neutral
7869,Feature,Need more improvement so that we can see paaraa no on each slide,Quran Reading Features,Quran Reading Features - Paaraa Display Improvement,Low,Neutral
7870,UI,Need more improvement.. Hadith should be in different color and Ravi should be in different color,Visual Design,Visual Design - Hadees Color Differentiation,Low,Neutral
7871,Feature,Need of modern traslation in place of traditional one,Translations & Tafseer,Translations & Tafseer - Modern Translation Request,Low,Neutral
7872,Feature,Need option not to hide 'play-forward and back' option,General Feature,General Feature - Audio Playback Controls Visibility,Low,Neutral
7873,Feature,Need some edit during reading a verse there will be an underlining Mark to show us what we are reading and where is that verse,Quran Reading Features,Quran Reading Features - Verse Underlining Request,Low,Neutral
7874,Feature,Need to add go to ayah button. If i have to start my recitation from ayah 100 of a surah. I have to scroll down to ayah 100. There ahould be a go to ayah button which should take me to ayah 100 directly upon typing 100,Quran Reading Features,Quran Reading Features - Go to Ayah Button Request,Low,Neutral
7875,Bug,"Need to fix bugs. In parah section, recitation should be resume from where last left off. But whenever I open it again, I have scroll down till where I last recited. Sometimes its difficult if we forget on which ayat we left last. 2nd is there are only fe",Audio Playback Issues,Audio Playback Issues - Recitation Resume Feature,Medium,Negative
7876,Feature,Need to have side by side transportation in English,Translations & Tafseer,Translations & Tafseer - English Translation Request,Low,Neutral
7877,Accuracy,"Need to more focus on hadees authenticity, 
Still some zaeef a hadees is available in this app",General Accuracy,General Accuracy - Hadees Authenticity Concerns,High,Negative
7878,Accuracy,Need to more precise with Arabic language,General Accuracy,General Accuracy - Arabic Language Precision Issues,Medium,Neutral
7879,Feature,Needs a lot of improvements in basic features,General Feature,General Feature - General Issues,Medium,Negative
7880,Feature,"Needs more tafasir in english language.
Kindly add english translation of Shyekh Mohsin Khan and Shyekh Taqi ud din al hilali.
Shukran",Translations & Tafseer,Translations & Tafseer - English Tafsir Addition Request,Low,Neutral
7881,Feature,"Needs to impreve quick searching if hadith in same page rather go back to main page yo search hadith.
Navigate should be next - previous hadith or any number of hadith or any book of hadith",Navigation Difficulty,Navigation Difficulty - Hadees Search Navigation Issues,Medium,Neutral
7882,UI,Needs to improve it's users experience on high level otherwise it will keep suffer from its user real reach it's objective should be rooted with great user experience journey,General UI,General UI - User Experience Improvement,Medium,Negative
7883,Feature,New features are not very suitable mean widgets,Widget/Notification Requests,Widget/Notification Requests - Widget Suitability Issues,Medium,Negative
7884,Feature,"New features have been added in it,that are very good like auto scroll,last recitation and much more.
I like it",General Feature,General Feature - Positive Feedback on New Features,Low,Positive
7885,Bug,Next ayat starts from still not fixed even I'm reporting for 2 years and its annoying me for 7 years,General Bug,General Bug - Quran Ayat Navigation Issues,Medium,Negative
7886,Feature,"Nice app to have a quran and islamic things with you. 
Although some improvements can be made like when someone is reading quran and hor she stops at some rukuh then there must be a easy way to start from their again next time.
Other than that everything",Quran Reading Features,Quran Reading Features - Resume Reading from Rukuh,Low,Neutral
7887,Feature,"Nice but also allow us to open Quran pages version, coz when we open the bookmark it lead us to 1 on 1 seprate ayat!",Quran Reading Features,Quran Reading Features - Bookmark Navigation Issues,Low,Neutral
